time_step,capas,units,activation,lr,opt,batch,MAE,RMSE,MAPE,R2
7,1,32,relu,0.01,adam,64,0.14651039451456416,0.15527974271591674,43.814327271983245,-3.5398727833977963
7,2,32,elu,0.001,rmsprop,64,0.13472336324756387,0.14156043163927629,45.22242471158872,-2.7730958156383494
7,2,64,selu,0.01,rmsprop,128,0.12849200861705212,0.1388405688738894,45.59344428255876,-2.6295003824346797
7,1,64,elu,0.01,rmsprop,64,0.14486804359728703,0.14713577416809911,45.98829303693009,-3.076154482055621
7,2,32,relu,0.0005,rmsprop,64,0.15089187429098808,0.1617984892026459,45.996727319092024,-3.929047481463262
7,1,32,elu,0.001,adam,128,0.13493596316775378,0.14063570622185312,46.07807249718818,-2.723962288900877
7,2,32,selu,0.0005,rmsprop,128,0.14824061706110014,0.15303499773518325,47.05514442432748,-3.4095634943023416
7,1,32,selu,0.0005,rmsprop,32,0.14920219158444542,0.15877132970561667,47.51324070436784,-3.7463334023293973
7,1,32,elu,0.0005,rmsprop,128,0.14134578408202225,0.15498094162231946,48.384934555856226,-3.5224176566660432
7,1,32,elu,0.01,rmsprop,64,0.1582849873288023,0.16381247983303696,48.46284883511162,-4.052520069195253
7,2,32,relu,0.01,rmsprop,128,0.16369678988500608,0.17073466588764724,49.70568709892231,-4.488548366159621
7,1,32,elu,0.001,rmsprop,128,0.1604721482820338,0.1625513422939361,53.003194381818474,-3.975024202202129
7,2,64,selu,0.01,rmsprop,64,0.1675791380337252,0.17192150022871544,53.960782309765364,-4.5651190865676154
7,1,32,selu,0.01,rmsprop,128,0.17446094869367282,0.17605659927091685,56.62219194286513,-4.836045847943667
7,1,64,selu,0.01,rmsprop,64,0.17867493773379878,0.17992986979002143,57.29627151861087,-5.095658228049855
7,1,32,elu,0.0005,adam,128,0.1734260806710029,0.17738398841650674,59.29667360670333,-4.924380023545637
7,1,64,selu,0.001,rmsprop,128,0.18417895593168768,0.18617314639743776,61.041137412925316,-5.526016307971841
7,1,32,relu,0.01,rmsprop,64,0.20636928186564168,0.2150382610510914,62.40495066290854,-7.706539133012358
7,1,32,selu,0.01,rmsprop,64,0.24849692973201515,0.25095632111077865,78.3303048531474,-10.857970238905057
7,1,32,selu,0.0005,adam,128,0.25087351100696,0.2574452488734226,84.95083859882769,-11.479116535304376
7,2,64,relu,0.01,rmsprop,64,0.31888596831552185,0.3359081046832087,95.31227528870664,-20.244917188932394
