d,unixTs,binance,bybit,okx,bitget,deribit,bitmex,huobi,bitfinex,gateIo,kucoin,kraken,cryptoCom,dydx,deltaExchange,openInterestFutures
2021-01-04,1609718400,1713346534.3754,1208641327.9179,1898710148.6076,,644635438.9968,789951447.2433,1136776608.1355,364737367.1175,,,160838834.5272,,,,
2021-01-05,1609804800,1633084918.8286,1044311474.7674,1870931535.6286,,622646731.4460,757074297.1302,1062499952.3145,353953417.0243,,,145567465.1644,,,,
2021-01-06,1609891200,1697515110.5828,998337674.9221,1889700413.8131,,664041858.0360,726210387.9196,1073625358.1926,377664518.7086,,,164849615.8734,,,,
2021-01-07,1609977600,1792336470.1918,1092433892.6942,1952757197.5704,,716150753.1592,836412079.6694,1205593834.0947,414423811.8431,,,184236436.2358,,,,
2021-01-08,1610064000,1937649371.4386,1298144810.9013,1945670508.3191,,758282248.9075,823906366.9985,1270801747.9082,450194452.1992,,,191619595.6500,,,,
2021-01-09,1610150400,1863784285.3616,1253391648.5934,1925284242.6491,,765353180.4112,865217490.1422,1203311976.4166,472708670.1870,,,187432949.5024,,,,
2021-01-10,1610236800,2063258059.5278,1287741171.9345,1934717199.7387,,812996729.9028,902509798.8593,1306119430.3551,471176524.0602,,,208200349.7007,,,,
2021-01-11,1610323200,1966392746.4868,1304594048.4108,1981724349.0459,,830116029.2144,923437198.9362,1266867313.4921,448814539.2129,,,233525057.9468,,,,
2021-01-12,1610409600,1766440001.1780,1000952157.7396,2045261124.3470,,844443066.8803,824603402.0899,1267513829.8352,410296956.9667,,,235970705.0108,,,,
2021-01-13,1610496000,1699424106.6543,1045254547.4257,2129130835.0873,,855366373.1111,816989483.6787,1268227022.7591,386790565.3387,,,237813169.4951,,,,
2021-01-14,1610582400,1975920090.5229,984949106.8882,2178179547.6543,,899536926.0408,800103418.6469,1265957455.0841,422095840.1206,,,249410582.6457,,,,
2021-01-15,1610668800,2036652704.8595,1430585530.9865,2158035393.4345,,922590811.5326,850781704.4612,1393009243.3701,442610457.9610,,,250534371.3408,,,,
2021-01-16,1610755200,1956694134.9393,1217336716.8005,2109184522.1266,,906272961.5447,862318584.7853,1368817467.1123,415838736.8700,,,254843840.5374,,,,
2021-01-17,1610841600,1911363283.9940,1216653634.9133,2128761761.3256,,903405216.4513,830150981.8649,1395760813.3651,406532235.2678,,,255674348.1435,,,,
2021-01-18,1610928000,1866985233.2192,1067546713.2330,2174882206.2783,,908190363.1861,828201410.4761,1409873169.3738,405153779.7214,,,208818288.9480,,,,
2021-01-19,1611014400,1951179212.4512,1159573270.2548,2236188271.1710,,903642419.2812,836624168.1255,1444924912.3775,414327169.1619,,,214532188.6254,,,,
2021-01-20,1611100800,2004005255.0725,1223004166.8927,2322205589.9118,,901576856.3470,884369160.2115,1476169755.1429,405171605.9126,,,217090986.3802,,,,
2021-01-21,1611187200,1953226208.9954,1024924057.8335,2113338247.2331,,902503456.9682,880672169.9431,1339779874.6709,401187203.0785,,,206201542.9185,,,,
2021-01-22,1611273600,1781965632.0125,1009608972.6831,1927854013.1259,,911052065.2090,845068154.1834,1274613741.3205,348726487.1770,,,196912274.8037,,,,
2021-01-23,1611360000,1736832376.2277,912579259.6236,1889898512.5876,,835734714.1547,865644981.7460,1198228855.6881,373500303.5182,,,159834943.3116,,,,
2021-01-24,1611446400,1693839034.4491,879536780.2407,1906267768.3254,,841314335.7864,840861201.4034,1188654581.0212,362620981.0094,,,157107380.7600,,,,
2021-01-25,1611532800,1732876827.1409,929545297.7797,1907905654.6764,,835431001.1627,850274183.4730,1192440346.1458,364811961.3257,,,163134778.5534,,,,
2021-01-26,1611619200,1758754188.9276,969106497.7530,1988943527.8640,,840720358.8291,850890582.6472,1209490050.3241,363828538.9005,,,168466699.4228,,,,
2021-01-27,1611705600,1769577159.3852,981165866.3144,1858351029.0626,,839504985.3379,863957472.0248,1205798909.4128,366876868.9897,,,169644787.1789,,,,
2021-01-28,1611792000,1754828496.7306,983706131.8331,1775765235.6805,,816340954.5002,881656351.1340,1152658206.6606,343007127.8051,,,160844020.9429,,,,
2021-01-29,1611878400,1944840589.4452,1093688736.2899,1846742864.4154,,811380121.3846,861234546.8244,1211935948.3267,378364994.1945,,,154162927.1086,,,,
2021-01-30,1611964800,1969821859.4664,1002536391.7651,2048234527.2871,,805883196.7369,935224915.8610,1278905072.8697,386926812.9544,,,152423854.8397,,,,
