d,unixTs,rhodlRatio
2022-09-13,1663027200,404.0550429479791847
2022-09-14,1663113600,402.2627494846797528
2022-09-15,1663200000,398.6208260509368545
2022-09-16,1663286400,393.7736849129671424
2022-09-17,1663372800,394.2001274889108777
2022-09-18,1663459200,390.3177412619932950
2022-09-19,1663545600,383.0373646240948269
2022-09-20,1663632000,376.4746466811158598
2022-09-21,1663718400,371.9653562915215999
2022-09-22,1663804800,372.8637146999568668
2022-09-23,1663891200,371.2209472189006480
2022-09-24,1663977600,370.4902047992283443
2022-09-25,1664064000,369.0383324800512548
2022-09-26,1664150400,371.2163978898306335
2022-09-27,1664236800,375.5201839379236424
2022-09-28,1664323200,375.6535728634995301
2022-09-29,1664409600,377.9699137488814008
2022-09-30,1664496000,379.8582097461411683
2022-10-01,1664582400,379.0257859486751464
2022-10-02,1664668800,377.6323540187633715
2022-10-03,1664755200,380.3966417126634816
2022-10-04,1664841600,386.4868673886603552
2022-10-05,1664928000,388.2484676605408070
2022-10-06,1665014400,389.4647875329937494
2022-10-07,1665100800,386.9862502749676396
2022-10-08,1665187200,384.8380838745331565
2022-10-09,1665273600,384.9678199483660357
2022-10-10,1665360000,383.5701208260369218
2022-10-11,1665446400,381.3010774446273611
2022-10-12,1665532800,379.1198014316948862
2022-10-13,1665619200,377.3537324775445374
2022-10-14,1665705600,378.4456435993316330
2022-10-15,1665792000,376.3867012112904735
2022-10-16,1665878400,376.8603645366522758
2022-10-17,1665964800,379.4173461187670121
2022-10-18,1666051200,379.9228969865818968
2022-10-19,1666137600,378.2488327969478805
2022-10-20,1666224000,376.7670777192213642
2022-10-21,1666310400,375.5415205826384942
2022-10-22,1666396800,375.8045949420670533
2022-10-23,1666483200,377.0894262229369503
2022-10-24,1666569600,374.7200889584277690
2022-10-25,1666656000,378.8619724768202000
2022-10-26,1666742400,388.2642721116605060
2022-10-27,1666828800,393.2856272815591402
2022-10-28,1666915200,395.2756755123392912
2022-10-29,1667001600,398.5704938480708552
2022-10-30,1667088000,398.4400084924454330
2022-10-31,1667174400,396.7554713993767918
2022-11-01,1667260800,397.1010746608398105
2022-11-02,1667347200,394.9619624856613215
2022-11-03,1667433600,389.1231191515814311
2022-11-04,1667520000,395.2381892376531394
2022-11-05,1667606400,399.9991281002574018
2022-11-06,1667692800,399.5218614412807938
2022-11-07,1667779200,396.4938083186423035
2022-11-08,1667865600,380.7640382498917501
2022-11-09,1667952000,357.3019230954312093
2022-11-10,1668038400,349.1923281295912437
2022-11-11,1668124800,337.7208836335445138
2022-11-12,1668211200,324.0518461935935717
2022-11-13,1668297600,316.1579258825552136
2022-11-14,1668384000,314.1274997204192922
2022-11-15,1668470400,313.6792000965128508
2022-11-16,1668556800,309.1890463290606334
2022-11-17,1668643200,307.8294176807653199
2022-11-18,1668729600,309.2755490830030343
2022-11-19,1668816000,308.3628292338837522
2022-11-20,1668902400,307.1644215873487635
2022-11-21,1668988800,302.1427813334914098
2022-11-22,1669075200,301.2326736087731877
2022-11-23,1669161600,304.4089143267152515
2022-11-24,1669248000,305.3292952169512265
2022-11-25,1669334400,302.2270431183971742
2022-11-26,1669420800,302.4446297949107477
2022-11-27,1669507200,302.4352922613751538
2022-11-28,1669593600,299.9598811184938313
2022-11-29,1669680000,301.8883503153158859
2022-11-30,1669766400,306.2926987541284130
2022-12-01,1669852800,307.3478006066973803
2022-12-02,1669939200,308.3276610449588703
2022-12-03,1670025600,308.6931220337977567
2022-12-04,1670112000,309.6802313506347688
2022-12-05,1670198400,312.1533218320292531
2022-12-06,1670284800,312.6210762755683216
2022-12-07,1670371200,311.4207434188017790
2022-12-08,1670457600,312.5267556712787863
2022-12-09,1670544000,313.9895878839271165
2022-12-10,1670630400,314.4832043787544862
2022-12-11,1670716800,314.6904675752128545
2022-12-12,1670803200,313.5602035598541669
2022-12-13,1670889600,316.0694460464598058
2022-12-14,1670976000,321.4368111465953800
2022-12-15,1671062400,319.6960816268694923
2022-12-16,1671148800,315.1347891429022805
2022-12-17,1671235200,311.2056361290961958
2022-12-18,1671321600,310.6871471710369201
2022-12-19,1671408000,309.6623860116797215
2022-12-20,1671494400,309.4995438632002957
2022-12-21,1671580800,307.5746869642944988
2022-12-22,1671667200,305.8585628571084583
2022-12-23,1671753600,305.5651843101169368
2022-12-24,1671840000,305.9223886510536677
2022-12-25,1671926400,305.8589158771271028
2022-12-26,1672012800,306.6064708429925225
2022-12-27,1672099200,305.6361116337263302
2022-12-28,1672185600,301.1425919818331508
2022-12-29,1672272000,300.3641139580579851
2022-12-30,1672358400,299.6162230608130718
2022-12-31,1672444800,299.4377173946693401
2023-01-01,1672531200,299.4619698109151720
2023-01-02,1672617600,300.6416195678576807
2023-01-03,1672704000,300.5387708290933486
2023-01-04,1672790400,301.9052726570751165
2023-01-05,1672876800,302.6205449735502187
2023-01-06,1672963200,303.4550414102312071
2023-01-07,1673049600,304.7954083431621770
2023-01-08,1673136000,305.2809922654920875
2023-01-09,1673222400,308.0185560143485783
2023-01-10,1673308800,309.8890102511111549
2023-01-11,1673395200,312.7230898770912107
2023-01-12,1673481600,322.6281463762738801
2023-01-13,1673568000,334.1247202186012855
2023-01-14,1673654400,353.3602256309090833
2023-01-15,1673740800,357.9205578246370435
2023-01-16,1673827200,363.5718582670900361
2023-01-17,1673913600,371.4309285461740792
2023-01-18,1674000000,375.2632901199850269
2023-01-19,1674086400,377.3908686569495574
2023-01-20,1674172800,386.5918235056289771
2023-01-21,1674259200,399.8294525683393869
2023-01-22,1674345600,402.2660631326527995
2023-01-23,1674432000,405.0530478558342271
2023-01-24,1674518400,407.2409066530687533
2023-01-25,1674604800,406.9748569548555775
2023-01-26,1674691200,412.6198563634955299
2023-01-27,1674777600,416.4465387654848910
2023-01-28,1674864000,417.0102227422497856
2023-01-29,1674950400,422.9145464741401228
2023-01-30,1675036800,419.7743479781628633
2023-01-31,1675123200,419.6228515176544569
2023-02-01,1675209600,426.5262460062857247
2023-02-02,1675296000,432.5976547582863324
