theDay,unixTs,capRealUSD
2020-04-15,1586908800,100976131482.5913
2021-11-30,1638230400,463917942451.6837
2021-12-18,1639785600,461939280022.4139
2021-12-20,1639958400,461835061469.7807
2021-12-22,1640131200,462447929744.0097
2022-01-01,1640995200,463293135888.8268
2022-01-28,1643328000,453789497159.7419
2022-01-29,1643414400,453078664233.3788
2022-02-12,1644624000,457887624283.6534
2024-09-11,1726012800,622111402543.7521
2021-03-27,1616803200,319878678604.9218
2021-06-27,1624752000,364121567087.8174
2021-11-15,1636934400,458212578452.0314
2022-01-17,1642377600,460265277444.6115
2022-01-18,1642464000,460139116808.7547
2022-02-24,1645660800,456978953985.7481
2022-03-04,1646352000,458842632278.1062
2022-03-06,1646524800,458776144865.3362
2022-03-14,1647216000,459248459412.2911
2022-03-20,1647734400,459891043975.0311
2022-04-14,1649894400,467261586698.8987
2022-01-30,1643500800,452706430436.7792
2022-03-25,1648166400,463609022486.1928
2020-05-15,1589500800,104665430345.4652
2020-05-17,1589673600,104772165917.6555
2020-06-03,1591142400,105756171571.2541
2020-06-18,1592438400,106745344807.0308
2020-06-23,1592870400,106965454066.2917
2020-07-19,1595116800,107885285472.4051
2020-07-29,1595980800,109364555631.8623
2020-08-06,1596672000,111286939096.8329
2020-09-26,1601078400,115587598741.5421
2022-02-21,1645401600,457041344492.9346
2022-02-25,1645747200,457013320638.1441
2022-03-31,1648684800,466853112484.6094
2022-04-16,1650067200,467358925108.4621
2022-04-18,1650240000,467416683879.96
2022-02-03,1643846400,454545821539.1593
2022-03-05,1646438400,458863074301.2794
2022-03-11,1646956800,459057920085.7659
2022-03-13,1647129600,459005831399.3549
2022-03-23,1647993600,460762838539.6175
2022-05-09,1652054400,461069457362.5472
2022-05-22,1653177600,453707600852.0774
2022-06-04,1654300800,449924697036.4778
2024-09-20,1726790400,626594050455.7566
2020-01-23,1579737600,102379814510.7362
2022-03-30,1648598400,467143405483.768
2022-06-05,1654387200,449840963761.3241
2022-07-05,1656979200,425213511387.4697
2022-07-07,1657152000,424461667458.5
2020-02-14,1581638400,105554111891.7059
2020-03-06,1583452800,106043503006.9029
2022-03-29,1648512000,466747870544.7633
2022-04-17,1650153600,467309508295.0293
2022-04-21,1650499200,468537637986.1368
2022-04-23,1650672000,468121380871.037
2022-05-19,1652918400,454351130216.4314
2022-07-08,1657238400,424297593973.9761
2022-07-21,1658361600,418919483133.0276
2024-09-17,1726531200,624175432119.2988
2020-01-12,1578787200,101478913302.489
2020-04-28,1588032000,101543202446.3148
2022-05-14,1652486400,456096888516.3184
2022-05-21,1653091200,453604209645.3112
2022-05-24,1653350400,453024580462.827
2022-06-09,1654732800,448383185856.0437
2022-07-30,1659139200,417492738111.8785
2022-08-03,1659484800,417165213973.8332
2020-01-27,1580083200,102592796056.4193
2020-02-29,1582934400,106095412906.8336
2020-04-03,1585872000,101124829510.3789
2020-12-06,1607212800,141067092014.8531
2020-12-13,1607817600,144364776204.4123
2021-01-21,1611187200,216030584787.6352
2022-06-10,1654819200,447974418911.0279
2022-06-19,1655596800,431790120640.2955
2022-07-19,1658188800,419486028745.4018
2022-09-21,1663718400,408924791489.0021
2022-09-22,1663804800,408945430886.8191
2020-03-13,1584057600,102576116567.2704
2020-04-11,1586563200,101012544673.873
2020-04-21,1587427200,101005663653.5044
2021-02-07,1612656000,231227145736.1876
2021-11-20,1637366400,459465255595.1795
2022-07-02,1656720000,425603349131.8959
2022-08-24,1661299200,415009207149.6632
2022-10-03,1664755200,407596908057.8519
2022-11-05,1667606400,405740390673.1405
2022-11-06,1667692800,405664847693.8334
2020-05-13,1589328000,104449720274.8268
2022-07-11,1657497600,422112614872.0313
2022-07-15,1657843200,419853061946.0595
2022-08-27,1661558400,414276589727.0941
2022-11-16,1668556800,396999901639.8713
2022-12-06,1670284800,385942391450.9042
2023-02-25,1677283200,383830107966.4209
2023-07-04,1688428800,396337098869.7623
2020-05-29,1590710400,105268001725.8028
2022-08-01,1659312000,417434781592.1354
2022-08-20,1660953600,415489776252.447
2022-09-29,1664409600,407990487414.3538
2022-12-16,1671148800,384393209511.9612
2024-01-02,1704153600,431128359641.2309
2020-06-19,1592524800,106740747496.4625
2020-08-09,1596931200,112004959124.2877
2022-08-19,1660867200,415564344519.2012
2022-09-18,1663459200,409838096534.515
2023-01-15,1673740800,380473762766.2962
2020-01-26,1579996800,102503759045.3865
2020-01-11,1578700800,101438322162.4566
2020-10-15,1602720000,117003906260.7776
2022-09-19,1663545600,409580400469.82
2022-09-26,1664150400,408654809811.4031
2022-12-10,1670630400,385410589227.9552
2023-02-10,1675987200,382759940793.8091
2023-02-13,1676246400,382732780159.9561
2020-03-05,1583366400,105987423258.7061
2020-03-24,1585008000,101625867332.1513
2020-10-08,1602115200,116232278240.8383
2022-10-19,1666137600,405730320545.7939
2022-10-21,1666310400,405540788089.2152
2022-11-10,1668038400,401075897990.5037
2022-12-26,1672012800,382793807175.1286
2023-01-27,1674777600,381482427969.0493
2023-03-05,1677974400,383031355532.2999
2023-03-09,1678320000,381160544910.1608
2020-04-01,1585699200,101109962013.5964
2020-04-08,1586304000,101371646164.1267
2023-03-22,1679443200,385198366396.0891
2023-04-01,1680307200,382000571999.0755
2020-04-10,1586476800,101010698982.7665
2020-05-08,1588896000,104383077965.3159
2020-05-11,1589155200,104255430937.1536
2021-02-23,1614038400,275132798020.0827
2021-07-01,1625097600,363604542002.9763
2022-11-14,1668384000,398580479126.3456
2022-12-04,1670112000,387383719763.5736
2022-12-21,1671580800,383353024472.1454
2023-02-16,1676505600,383313173998.0627
2023-03-01,1677628800,383393043890.6933
2023-04-14,1681430400,384777182521.8944
2023-04-23,1682208000,385653104018.9429
2020-05-14,1589414400,104631163956.9885
2020-01-08,1578441600,101276360784.5061
2022-07-20,1658275200,419646100350.7796
2023-01-01,1672531200,380775156392.9885
2023-04-10,1681084800,383519855306.87286
2023-05-01,1682899200,386537922025.0554
2023-05-23,1684800000,390962382412.496
2020-02-04,1580774400,103520796787.2548
2020-05-25,1590364800,105065699289.0624
2020-06-04,1591228800,105870952151.1057
2020-06-14,1592092800,106350403076.0002
2020-06-17,1592352000,106476437357.0024
2021-10-27,1635292800,430731793070.3008
2023-01-30,1675036800,381726579779.1266
2023-05-04,1683158400,387495557977.62335
2023-05-11,1683763200,389547682939.9909
